Gene	CellType
Arrdc2	Ery
A730036I17Rik	Ery
Tmem9	Ery
Kifc1	Ery
Dlgap5	Ery
Cdca4	Ery
Metap2	Ery
Cntf	Ery
Brinp2	Ery
Fam213a	Ery
Akap7	Ery
Hbb-b1	Ery
Reln	Ery
Troap	Ery
Dnajb3	Ery
Parp16	Ery
Nek3	Ery
Sh3yl1	Ery
Fam220a	Ery
Ube2c	Ery
Cenpp	Ery
St5	Ery
Ppm1d	Ery
E2f2	Ery
Tk1	Ery
Foxm1	Ery
Gm17359	Ery
Cdca2	Ery
Sec14l2	Ery
Sh3tc2	Ery
Rnf10	Ery
Paqr4	Ery
Grtp1	Ery
Anp32b	Ery
Atg4d	Ery
Ibtk	Ery
Nckap1	Ery
Bsdc1	Ery
Dusp8	Ery
Stx2	Ery
Tbcel	Ery
Samd14	Ery
Ska2	Ery
Ankle1	Ery
Agrn	Ery
Wipi1	Ery
Rnf123	Ery
Rad51c	Ery
Sowaha	Ery
Neil3	Ery
Slc16a6	Ery
Asb17os	Ery
Capn11	Ery
Aknad1	Ery
Arhgef12	Ery
Popdc2	Ery
Tac2	Ery
Rdm1	Ery
Pif1	Ery
Lrig1	Ery
Ccrn4l	Ery
Zfp949	Ery
Cdc25c	Ery
Hspa4l	Ery
1810058I24Rik	Ery
Hba-a1	Ery
Glrx5	Ery
Apeh	Ery
Dhrs11	Ery
Isca2	Ery
Vangl1	Ery
Gm20337	Ery
Fam132b	Ery
Bmp8b	Ery
4931406P16Rik	Ery
Esco2	Ery
Clp1	Ery
Paxip1	Ery
Fam83d	Ery
Dcaf6	Ery
Slc16a1	Ery
Polh	Ery
Apex2	Ery
Mki67	Ery
Psmf1	Ery
Cenpl	Ery
March3	Ery
1700020I14Rik	Ery
Ccne1	Ery
Oas3	Ery
Prnp	Ery
Zdhhc14	Ery
Fntb	Ery
C1qtnf4	Ery
Fam53b	Ery
Cenpa	Ery
Abcb4	Ery
Hist2h2ac	Ery
Xk	Ery
Apold1	Ery
Ccdc23	Ery
Spef1	Ery
Cat	Ery
M1ap	Ery
Gm14023	Ery
Siah3	Ery
Trim10	Ery
Cdkn3	Ery
Mns1	Ery
Pdia2	Ery
Plek2	Ery
Slc38a5	Ery
Kif18b	Ery
Psd	Ery
Figf	Ery
1300017J02Rik	Ery
Sep-08	Ery
Reep4	Ery
Gpx1	Ery
Elmo3	Ery
Tmem14c	Ery
Cdkl1	Ery
Rfx2	Ery
Ranbp10	Ery
Mpp2	Ery
Clca1	Ery
Tmcc2	Ery
2410076I21Rik	Ery
Clspn	Ery
Pcx	Ery
Ttll12	Ery
Top2a	Ery
2900009J06Rik	Ery
Nhlrc4	Ery
Ctse	Ery
Tuba4a	Ery
Ubp1	Ery
Lmo2	Ery
Hemgn	Ery
Ncoa7	Ery
Ntn4	Ery
Smc2	Ery
Tpcn1	Ery
Usp32	Ery
Prn	Ery
Cit	Ery
Gypa	Ery
Arhgef39	Ery
Ankrd9	Ery
Nde1	Ery
Blm	Ery
Mgst3	Ery
Pgp	Ery
Kctd14	Ery
6030468B19Rik	Ery
Sgol2	Ery
Slc25a38	Ery
Ncapd3	Ery
Nqo1	Ery
Vwf	Ery
Hyal1	Ery
Ssx2ip	Ery
Mettl7a1	Ery
Abat	Ery
Ift140	Ery
Uros	Ery
Col5a1	Ery
Gstm5	Ery
BC021767	Ery
Fn3krp	Ery
Mfhas1	Ery
Kif22	Ery
Endod1	Ery
4930404N11Rik	Ery
Mad2l1bp	Ery
Darc	Ery
Usp15	Ery
Fam46c	Ery
Cd59a	Ery
Pnpo	Ery
Mastl	Ery
Tacc3	Ery
Kif23	Ery
Gucd1	Ery
Tbccd1	Ery
Cks2	Ery
Bola3	Ery
Pigq	Ery
Slc25a51	Ery
Nfe2	Ery
Exoc3l	Ery
Pdzd11	Ery
Hebp1	Ery
Trappc10	Ery
Nme3	Ery
4930430F08Rik	Ery
Ccsap	Ery
Gclc	Ery
Car2	Ery
Pkd2l2	Ery
Gen1	Ery
Mesdc1	Ery
5730508B09Rik	Ery
1190002F15Rik	Ery
Hmg20a	Ery
Lrr1	Ery
Zrsr1	Ery
Katnal1	Ery
Slc6a9	Ery
Bex4	Ery
D030056L22Rik	Ery
Arrb1	Ery
Pip4k2c	Ery
Smim1	Ery
Aspm	Ery
Ube2s	Ery
Cdca8	Ery
D5Ertd579e	Ery
Prokr1	Ery
Tmprss6	Ery
Scrn3	Ery
E2f7	Ery
Gfi1b	Ery
Sptb	Ery
C2cd2l	Ery
Sertad3	Ery
Tmod1	Ery
Fgfrl1	Ery
Rab3il1	Ery
9830132P13Rik	Ery
Nadk2	Ery
E2f4	Ery
Cdca3	Ery
Slc25a21	Ery
Mocs1	Ery
Ckap2l	Ery
Cep76	Ery
Iba57	Ery
Snx15	Ery
1700037H04Rik	Ery
Rassf7	Ery
Tmc6	Ery
Hist4h4	Ery
Sppl2b	Ery
H2afx	Ery
Mppe1	Ery
Mob2	Ery
Trim58	Ery
Prc1	Ery
Bcl2l1	Ery
Cdan1	Ery
Ikzf5	Ery
Galnt10	Ery
AA986860	Ery
Barx2	Ery
Dnah9	Ery
Arl4a	Ery
Fbxo7	Ery
Dnttip1	Ery
Klf1	Ery
Dek	Ery
Gm15800	Ery
Odc1	Ery
Pkn2	Ery
Atg4b	Ery
Chac2	Ery
Ap2a1	Ery
Mpp1	Ery
Epor	Ery
Tubb4b	Ery
Kel	Ery
Spag5	Ery
Dapk2	Ery
Ypel4	Ery
Ptprn2	Ery
Myh10	Ery
St3gal2	Ery
Gch1	Ery
Prkar2b	Ery
Dyrk3	Ery
Nrip3	Ery
Slc36a3	Ery
Lrrc29	Ery
Pnma1	Ery
Gabarapl2	Ery
A930006K02Rik	Ery
Fam229a	Ery
Ankrd54	Ery
March8	Ery
Agtr1a	Ery
Slc22a4	Ery
Ninj2	Ery
Mast2	Ery
Ccnf	Ery
Espl1	Ery
Slc48a1	Ery
Klf3	Ery
Hba-a2	Ery
Rnf19a	Ery
Parvb	Ery
Ccdc74a	Ery
Icam4	Ery
Ermap	Ery
Adam33	Ery
B3gnt3	Ery
Nek2	Ery
Slc25a37	Ery
Cox11	Ery
Sgol1	Ery
Eif2ak1	Ery
Zfp526	Ery
Larp1b	Ery
Blvrb	Ery
Afmid	Ery
Slc25a39	Ery
Clk3	Ery
Pip5k1b	Ery
Ubac1	Ery
Dennd2c	Ery
Tmem231	Ery
Optn	Ery
Cdc25b	Ery
Kntc1	Ery
Gm9895	Ery
Hbq1b	Ery
Slc4a1	Ery
Klf11	Ery
Mthfd2	Ery
Shf	Ery
Oip5	Ery
Pir	Ery
Depdc1b	Ery
2610027K06Rik	Ery
Abcb10	Ery
Nek8	Ery
Zcchc6	Ery
Parpbp	Ery
Oas1e	Ery
Cdk1	Ery
Nipa1	Ery
Iqcd	Ery
Incenp	Ery
Arhgap11a	Ery
Ufsp1	Ery
Cdh20	Ery
Gtpbp1	Ery
Psme3	Ery
Foxo3	Ery
Camsap2	Ery
Fzr1	Ery
Cldn13	Ery
Cmas	Ery
Gm16793	Ery
Cyb5	Ery
Otud5	Ery
Ift80	Ery
Urod	Ery
Mboat2	Ery
Kif4	Ery
Nyap1	Ery
Slc1a5	Ery
Ccrl2	Ery
Zfp341	Ery
Ccnb2	Ery
Orc1	Ery
Spdl1	Ery
Ninl	Ery
Atl1	Ery
Ank	Ery
Slfn14	Ery
Klhl12	Ery
Ces2g	Ery
Kif18a	Ery
Odf2	Ery
Hist1h2bm	Ery
Fam117a	Ery
Phyhip	Ery
Ppp1r15a	Ery
Nmnat3	Ery
Gm16515	Ery
Vopp1	Ery
E130309D14Rik	Ery
Map4k5	Ery
Aurka	Ery
Hist1h2ak	Ery
Diap3	Ery
Kctd7	Ery
Arhgap23	Ery
E2f8	Ery
Xpo7	Ery
Ube2r2	Ery
Rbm38	Ery
Abcg2	Ery
2310022B05Rik	Ery
Tg	Ery
Gapvd1	Ery
Hipk2	Ery
Bcorl1	Ery
Hist1h2aa	Ery
Tubb2a	Ery
Lpcat3	Ery
Tspan33	Ery
Apol11b	Ery
Cd24a	Ery
Stom	Ery
Mcph1	Ery
Ppox	Ery
Prox2	Ery
Creg1	Ery
Unc5cl	Ery
Memo1	Ery
Hbb-bs	Ery
Usp49	Ery
8430419L09Rik	Ery
Wipi2	Ery
Gadd45a	Ery
Ube2e2	Mye
Cd86	Mye
Fam160a2	Mye
Skap2	Mye
Pfkfb4	Mye
Ccpg1	Mye
Dpp10	Mye
Sirpa	Mye
Mcc	Mye
Lpar3	Mye
Lphn3	Mye
Rhog	Mye
Ncam1	Mye
Lyst	Mye
Ddr1	Mye
Sep-05	Mye
Dfna5	Mye
Zfp516	Mye
Acvrl1	Mye
Sdc3	Mye
Flnb	Mye
Hap1	Mye
Nhsl2	Mye
B430306N03Rik	Mye
Ocstamp	Mye
Dbn1	Mye
Tnf	Mye
Ldlr	Mye
Irg1	Mye
S100a9	Mye
Trpm2	Mye
Rtn1	Mye
Prdx5	Mye
Slco2b1	Mye
Gm2a	Mye
Gm9733	Mye
Dkk2	Mye
Tcf7l2	Mye
Tcn2	Mye
Lsp1	Mye
Hk3	Mye
